Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",93.300000,-82.700000,270.000000,bottom
"C2","1u","C_0805_2012Metric",106.600000,-82.600000,270.000000,bottom
"D1","LED","LED_1206_3216Metric",93.200000,-118.600000,180.000000,bottom
"D2","LED","LED_1206_3216Metric",93.200000,-116.000000,180.000000,bottom
"D3","LED","LED_1206_3216Metric",93.200000,-113.400000,180.000000,bottom
"R1","330","R_0805_2012Metric",102.200000,-82.600000,270.000000,bottom
"R2","330","R_0805_2012Metric",97.800000,-82.700000,270.000000,bottom
"R3","5.1k","R_0805_2012Metric",104.400000,-82.600000,270.000000,bottom
"R4","5.1k","R_0805_2012Metric",95.600000,-82.700000,270.000000,bottom
"R17","R","R_0805_2012Metric",98.800000,-120.600000,270.000000,bottom
"R18","R","R_0805_2012Metric",101.000000,-120.512500,270.000000,bottom
"R19","R","R_0805_2012Metric",96.700000,-120.600000,270.000000,bottom
